nombre_comun,familia,genero,especie,sexo,generacion,conocedor,edad,mezclada,cultivada,h,t,fl,fr,r,sem,lat,al_h,me,orn,fi,al_a,am,uc,com,otr
Curibano,Acanthaceae,Justicia,Justicia pectoralis,F,J,J13,15,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penicilina,Acanthaceae,Justicia,Justicia adhatoda,F,J,J5,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Penicilina,Acanthaceae,Justicia,Justicia adhatoda,F,J,J7,15,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Penicilina,Acanthaceae,Justicia,Justicia adhatoda,F,J,J8,15,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Penicilina,Acanthaceae,Justicia,Justicia adhatoda,F,J,J9,16,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Penicilina,Acanthaceae,Justicia,Justicia adhatoda,F,J,J10,15,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J6,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J7,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J8,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J9,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J10,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Genciano,Acanthaceae,Thunbergia,Thunbergia alata,F,J,J5,15,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,F,J,J1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,F,J,J14,15,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,F,J,J15,15,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,F,J,J16,16,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,M,J,J3,15,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,F,J,J6,16,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Quiebra barrigo,Acanthaceae,Trichanthera,Trichanthera gigantea,M,N,N1,12,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J1,15,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J10,15,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J11,17,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J13,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J2,15,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,M,J,J3,15,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,M,J,J4,15,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J5,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J6,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J7,15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J8,15,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,F,J,J9,16,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sauco,Virbuneaceae,Sambucus,Sambucus mexicana,M,N,N1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J10,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J11,17,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,M,J,J12,18,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J14,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J16,16,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J7,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abrojo,Amaranthaceae,Alternanthera,Alternanthera pubiflora,F,J,J8,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J1,15,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J10,15,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,M,J,J12,18,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J13,15,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J14,15,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J15,15,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,F,J,J16,16,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cebolla de rama,Amaryllidaceae,Allium,Allium fistulosum,M,J,J17,15,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
